"","Hd12_1","Hd12_2","Hd12_3","Hd12_4","Md6_1","Md6_2","Md6_3","Md6_4"
"NFIL3",9.05840368824461,9.09213758724004,9.02673611046253,9.01867189564566,9.33070714890018,9.48926071940782,9.38797406541259,9.37167240179858
"TOP2A",10.0523835912949,10.1138254417561,9.88571665431148,9.89414601771318,12.5056173379408,12.3749467674219,12.6108608693482,12.5129621365693
"ANLN",9.89809653170968,9.93870748501445,9.80748989247868,9.63738252713954,12.2172390832547,12.1916637763106,12.2755898967574,12.2189466395115
"KIF11",8.18714829812015,8.04647197393458,8.05793382299905,7.96215179107438,10.5219804979987,10.3956798065241,10.5308241833847,10.5087713521611
"CENPE",7.36361369133344,7.64787744191365,7.52365351292596,7.4142242207795,10.6290803740209,10.4589076478117,10.7784187308237,10.5604188314713
"BUB1",7.95244139636469,7.78904232906201,7.86847999985415,7.83560586903531,11.0525476326352,10.7670499857238,11.0256665337769,10.9821519464966
"ZDHHC7",10.9444581139123,11.0488900598767,11.0702234859976,11.033282547615,9.29853966607958,9.29089242049847,9.17569865422168,9.16031483061675
"CCNB1",10.6579646056263,10.1897581277469,10.305412526373,10.0525951995738,11.8727804433185,11.9280764929412,11.9290397154737,11.8991881660632
"TPX2",9.92776355661839,9.84698755982726,9.76451759966703,9.67878095741102,12.0288860038745,12.0889296314686,12.1854790131424,12.1019771329663
"KNL1",6.87794380291925,6.80175995490218,6.5696325658027,6.39067907199678,9.69764765056405,9.50733146936338,9.7539141317978,9.67427908204512
"TRIB3",9.83235699047046,9.70419119511405,9.92680639033376,9.90704717456398,8.86838982625663,9.08646959281876,8.97413295599995,8.8547375126279
"CCNB2",8.63343803446393,8.46075247644429,8.15489427293463,8.18568161078608,12.6720592615144,12.5814059691306,12.4504253909219,12.523605137052
"RRM1",10.1781817780471,10.2413113246174,10.1529258972884,10.1672210851821,11.0820195827758,11.0616610802794,11.0804702774234,11.0828780164151
"ERCC6L",5.9861117643629,6.01712595853607,5.99838739123924,5.62534844148546,9.70366809837777,9.60409223270841,9.6588485113627,9.66760507098264
"CDK1",8.62646012108977,8.23921819460468,8.01578841016203,8.20398962398693,11.7190529836535,11.8699419693922,11.7000259211011,11.7614006646958
"HMMR",7.84145970367316,7.6222436863403,7.35578967443253,7.53436591616841,11.1310053454552,11.0672609141021,11.1925828236727,11.0579080691427
"PTX3",10.8430825681852,10.8765330322892,10.6118219494679,10.7040553248277,7.85338372762388,7.91862679237177,7.7573606691854,7.58295040623654
"TGFB2",9.96708388127372,10.0943762819204,10.2804483401416,10.202234767051,9.05102898566237,8.94169054867515,9.07199503884437,9.14504901020291
"CDKN3",9.09653081079094,8.70426913501541,8.3234199916998,8.26936566677026,9.07985333498758,9.12722482866887,9.06868387142831,9.229759064724
"ARRDC4",10.2037187452726,10.2280707159861,10.3191785685358,10.0845530532833,3.66980122647328,3.98138493508829,4.35111382189615,3.54879674550526
"AURKA",8.85800526040675,8.6475223845036,8.55235993212949,8.54710066871801,11.5190221173511,11.5692859560656,11.5328259181186,11.5079940712715
"CCNA2",9.00050304060794,8.80616531027538,9.08521900350955,8.9578380617118,12.2293609846903,12.182906525144,12.237413126819,12.1788504142724
"CEP55",8.81635027103946,8.51582560777245,8.56021527096319,8.35818017274758,11.0493959545539,11.1125725840214,11.1761171932857,11.1545916791322
