"","Hd1_1","Hd1_2","Hd1_3","Hd1_4","Md1_1","Md1_2","Md1_3","Md1_4"
"XIRP2",0,0,0,0,3.1407707073808,3.23939379957129,2.70653569160775,3.3472967169126
"RORC",0,0,0,0,6.48363055438254,6.2937009031321,6.48906605156209,6.64822678209675
"SFRP2",0,0,0,0,8.91574452975606,8.64919616499892,8.69403597786358,8.77485948131693
"C1orf116",0.648502136806874,0.341620553892721,0,0.191232633766279,4.23468346903563,4.21161225187048,4.2442909247812,4.30472527898614
"APOBEC2",3.39167448009226,2.75430053473332,4.07975447950979,3.86302367704314,2.56163514734978,2.92481461694775,3.67763810213112,3.56013606761108
"MDFI",1.51423992907311,1.96836288241646,1.619972316711,1.51327365231015,1.29118785154355,1.9277614957259,1.53801718936148,0
"NPNT",4.45481206009316,4.22213294068086,5.08446338330232,4.55860169393475,7.85553920473252,7.94762121326376,7.82695090068186,7.84650470344563
"CACNA1G",0.567963347635643,0.381633264845714,0.18233429823587,0,2.69220686621248,2.29594252640924,2.79152320094648,2.562151541676
"LRRN1",1.30137470302983,0.427339480973765,0.690193091046641,0,4.52812175927974,5.07949842290144,4.52086110461837,4.57044594337908
"ADAMTS15",1.79782102288101,2.16934670322499,1.38622449426178,1.07020462585113,0.404762685616205,0.563824415150574,0,0
"KCNF1",4.49094293633177,4.3636912457527,4.45001275359939,3.08665667779895,6.67128725349795,6.61862421274769,6.76889386914763,6.69098887198015
"WNT10A",3.90270461540349,3.01949381328448,3.90613778021789,3.63552248144732,9.22455752908615,9.07039291394147,9.26552916479546,9.08313566553848
"JPH1",2.13354149883055,2.42359592793988,1.76132675240621,1.4757519276182,5.12101690769652,5.33225331831052,5.53076939712501,5.00200439855018
"SEMA3D",0.255394247927165,0.629490061078401,0.85694683116694,1.23525936238231,7.2096496566574,7.27822477109653,7.32846723503491,7.44775067642988
"CHAC1",4.57043299429305,4.66026941431075,5.10294605987906,4.4982034419539,6.57974877339051,5.9957754359679,6.0620111597512,5.99511926804009
"RASL10A",0.431360817930986,1.40089158896825,1.46035467564487,2.5543537974021,3.4973438343628,3.00252618336794,4.67701860674229,3.44024386891357
"NANOS1",3.2556247531571,2.32925182841782,3.13990699749508,3.19436110221938,3.86084155861746,4.92273336401417,4.30262193744238,4.29049060196537
"FILIP1",4.0609256860833,4.0953591697508,4.47391748480941,3.85647666998244,0.280101798827467,0,0.927556702421229,0
"IL15RA",1.44283707253076,1.14636538548346,1.4852430893823,0.894052908224211,3.53213886709204,4.06551955043414,3.77731530752207,3.17848910980501
"TAGLN3",2.42189495511985,2.91957905184932,1.97130635348179,1.85301847349297,2.95729921555398,3.08628317631491,2.11213830297289,2.89081405274151
"CHRND",7.58252794197117,7.310188203673,7.4489773758855,7.58666580251499,6.37506520462381,6.21862665784551,6.29839730688024,6.41782108765701
"FJX1",8.96848055573352,8.66108499177229,8.82990093890653,8.95409167675678,3.38678756441695,2.47141662072279,2.64607496668382,3.14213622624068
"PCSK6",2.23721463436761,1.78358899763493,2.17226771028476,2.54355331494046,4.66438798494904,4.82431540980003,4.55903714847993,4.56933428280129
"SOCS1",2.99178492529691,3.26216469646151,2.9852466411712,4.16465064082246,6.41693288050895,6.3223926680336,6.15066070927602,5.95142461975242
"MKX",4.14819823097851,3.77711687825664,3.87752854226747,3.81814231904728,5.201216445146,5.36053754174419,5.20149717234088,4.93697132664029
"CCDC88C",1.88808361271129,1.44115312915182,1.94188141211356,1.9586300340692,3.65470749242076,3.80757878705555,3.7889561655729,4.00224923806918
"FILIP1L",4.37188837931177,4.74278945623835,4.60742409547669,4.45110696921759,10.0827133317576,10.1946698544352,10.2180707248593,10.2869647620316
"XIRP1",6.07192238616053,6.36417530424377,6.37879798952684,6.29311145958757,3.46679141839919,3.52846941085977,3.72135192701333,4.22248783774006
"CBS",2.48582325303644,2.9273417430871,2.87983308009657,3.34959131064258,1.94105699770265,1.83407350907002,1.27245056238053,1.60289184284135
"SLC4A4",3.81375400631381,4.32891688644645,4.75658762382709,4.61494598952873,4.61729758215017,4.67164736881542,4.88099380806456,4.81195915278691
"ACHE",4.24436328948681,3.70555316300179,3.74922121043204,3.76286437892637,0.446783095919437,0.851140878701272,0.59394428927838,0.654180124005808
"DIO2",6.07597227011831,6.25037651687992,6.55234208295116,6.37506570226129,3.48571576573235,3.46494671882941,3.28067543183868,3.11251958976248
"VASH2",7.20363478526547,7.41478122019865,7.41003478999625,7.34457220429237,7.69014268725968,7.65937217724386,7.86663982062184,7.88084343852449
"RTN4RL1",3.98725625220114,3.65046565978025,3.51901931906521,3.44572508209911,4.32500520256274,4.5433038874627,4.60768896683712,4.73241040662558
"NR4A1",2.11015134577968,1.85584541436564,2.11003507224655,1.64985967252094,5.23515021410782,4.61340224320905,5.15220087595106,4.89349288495942
"AK4P3",4.53424576916679,4.2155787120764,4.87525716321077,4.01381729542145,6.9533656124726,7.04502782752924,7.05701815827922,7.28402835750426
"CDK18",4.80582033239558,4.50684521660229,4.97475307832226,5.15345526784532,8.1158343812412,8.07272624448857,8.06231484947037,8.07407893498202
"CD14",4.82368053165813,4.71873054872315,5.12856293493598,5.24034611367486,8.26442379987362,8.07841750128654,8.22934473601139,8.15515774281489
"PKDCC",7.22469942182092,6.75141418627658,6.73432452450644,6.90466333780402,6.52295075601348,6.20672474996905,6.48836742766336,6.51127425874583
"LRFN4",7.58305324280987,7.44374261213621,7.66452557735229,7.69343176504327,8.14049939058589,8.01886819160039,8.11731219360058,7.93242952610161
"IL6R",2.95876750760695,4.13993602991042,3.51585280016948,3.62759824520313,6.10371205709172,6.12237857652196,6.22711120454077,5.96837021887256
"TGFB2",7.09583755944169,7.21890032084997,7.08031311640887,7.21981167919536,7.69306675163285,7.85424129545546,7.84826107573146,7.96734080278967
"COL5A3",5.43724894365072,5.22798254490032,5.9730189599633,5.9966120117126,10.0095307817404,9.86925207711569,10.201347014629,10.0039799983793
"IGFBP3",10.2927583351921,10.2402684828632,10.2121601473382,10.2944118278753,4.75027112040693,5.1710556790218,4.88697483028445,5.2824569169305
"SCN5A",6.81305840023052,6.75857085303206,6.7766214615102,6.80757945976118,2.29085021552075,2.01405961064303,2.73172812374701,2.96520075060862
"ENTPD7",6.61029894609628,6.51798740604138,7.07814406281726,6.93472813435115,5.34890760530143,5.15476564849233,5.07788301879282,5.16069336781823
"PAPPA",8.18380701419016,8.39702817068497,8.47135913868973,8.39825642963603,4.05961495483607,4.27983694908905,4.03347065314549,3.89048759667325
"ADGRG6",2.48715143248068,2.89128327265061,2.23416125268757,3.04807657016945,8.75310908231583,8.81562340196856,8.81328136444123,8.81809935672744
"COL4A2",8.05238130989015,8.0046302436961,8.16164462053908,8.02449176272156,9.56695512369551,9.35608244547912,9.61690611275538,9.48436217204317
"ADRB2",4.389067253605,3.87407778620202,4.76621361703885,4.29080591532758,7.53089574131795,7.64428776156166,7.35602530563491,7.3843856322989
"SPARC",14.2440785687199,14.1666293189679,14.2966802968694,14.2527558892691,15.2509021657027,15.1935128409273,15.1958207016309,15.2992313397525
"NUDT14",6.42885473420087,6.11444629585365,6.16300636787223,6.39286196670844,7.72161665471697,8.06804707442547,8.05049199141003,7.99454488417314
"SEMA6B",7.92091033790157,7.4965554784757,7.77411487480066,7.50777880403043,3.63445193199471,2.42517657075096,3.45157718409831,3.48458859981572
"TES",4.0762490896163,3.83018535022446,4.03851971821969,3.62021654679388,1.32116166391105,1.80294571798972,1.75096977610686,2.44393782810608
"ITGA6",10.4193699807205,10.3885678832889,10.6068171921541,10.6033297691132,5.97689747737557,6.31095322971599,6.07725004461694,6.22427250560582
"COL4A4",2.3739876848397,1.94295263941478,1.9470501864831,2.11371661119275,0.396457437174799,0.302735750766701,0.783394815597063,0.459329853709766
"EFHD2",9.75179984062471,9.60330735097186,9.73101020585312,9.67019566347155,8.30185054081372,8.48981439105376,8.56528355583672,8.33632759764658
"HES1",5.82407086730478,5.61828003705375,6.22075270358905,5.58185457929145,7.23517311164882,7.77298390225027,7.50254275601042,7.41442683835825
"NUAK2",4.4053939295677,4.35317696772014,4.46574368981451,4.2406249084712,6.75901623756279,6.65404267646175,6.81484519365801,6.68411610624903
"BCAM",7.4924243860181,7.16767848504758,7.40673637176548,7.40608873178414,3.17689600804554,3.02933772211026,3.65462889361554,3.1832951415107
"NFIB",3.50274996675022,3.74197616037865,3.70484725057838,3.53219442960763,7.55398294322135,7.70149118835058,7.78288706020423,7.64135174846006
"TSPAN2",3.49848668662781,4.08324425433992,3.23857075388824,4.4164191905067,3.92926747873825,3.65465058050385,3.60200770798717,4.00544105866512
"GPAT3",3.1503229915478,4.21653781933343,3.62231111706286,3.6401970558946,4.63226708576064,5.39354060293675,5.6020990973832,5.31525003368896
"MFAP3L",6.34340066353113,6.64222576886337,6.47309162255726,6.44006969074601,7.04157994406942,7.3129259286754,7.15277907967063,7.3136417321193
"RBM20",4.87336027602457,5.05479895578551,5.14462396519458,5.07368097472026,8.15635183105793,8.05880676278998,8.28378609726376,8.14877811714956
"TSPAN12",6.03201628806697,5.13111220616133,6.25071077339604,5.60580459823781,7.22240250209868,7.27059005395993,7.22537413220405,7.23456063506398
"DBNDD1",7.70450568175569,7.31859549554825,7.58472973188898,7.27445516999183,4.4691409931332,4.44907789127113,4.83788622850334,4.27056364193599
"FBXL22",3.80327351367245,4.62011177453822,4.03400639660968,4.13876879050698,2.82777843605718,2.63678656136924,3.0005666662823,3.17827705891217
"P3H2",5.84316577201485,5.88490727763295,5.6903903896351,5.78094118633029,4.29579422500834,4.58330961301106,3.88404334947149,4.27459687655168
"MYCBP",5.83287283609806,6.2102615189892,5.93169680025316,6.05390006557311,7.20753887289028,7.26340687314597,7.23153062159461,7.25829965842467
"ANKRD1",10.9667537769271,10.9174926458251,10.8452609102131,10.9808229488922,10.3584409649421,10.4770425298982,10.2758951674021,10.3691194093468
"NUAK1",8.32308177237737,8.41595476412382,8.50489991942084,8.52574100371778,7.11097302709926,6.97586191066891,7.18000378410186,7.14839864469653
"CDK6",8.61034626667608,8.83830062349817,8.75351142927429,8.74106339424698,7.25918647430607,7.42260780421712,7.31613697450242,7.19493380783828
"COL4A5",7.46223391884007,7.56752129108137,7.5980686584029,7.61865583426959,8.69115748977127,8.62127730198167,8.6535552552913,8.68958735315272
"AKAP6",3.13545872489663,3.17622767220856,3.47256857722355,3.86245547653942,4.74856032531132,4.48012215940605,4.75539235944427,4.78509899381864
"TXLNB",4.74275958118871,5.16339478683977,5.17407879143272,4.96209994146005,3.96670052353896,4.01730153326854,4.85913606463049,4.31571985312932
"LGALSL",2.23429090617682,2.66102638962889,2.84964960816037,2.77493843227251,6.1663741430553,6.31698779025219,6.16623095783081,6.28583592639791
"CAVIN4",8.37533362632531,8.25191596068512,8.4067339018116,8.44347725655486,8.95767469362299,9.1005400954869,9.14589674846926,9.26900111879262
"AOC3",2.50056198112346,3.35906226246275,3.23027873736406,2.98097539428492,7.70126677646911,7.36343333242995,7.59426581788142,7.44575021254685
"KLF15",2.97317508267225,3.08479578900793,2.75291697200921,3.06922286919322,3.23538214886595,3.64854768530261,3.50277624797559,2.84338330103668
"PVR",8.3249449267018,8.16356300642563,8.37580722016036,8.29422478018576,7.02154521859817,7.15123467817336,6.96634445849249,7.22707661527502
"DOK7",8.52579590219233,8.05890333354549,8.33414991664962,8.44323993507807,3.73333314041856,2.73354977785136,3.81580697588931,3.69411883326215
"VCAM1",5.21471852721861,5.44790235998828,4.79766848545868,4.69387006851881,9.01205890619874,9.08568271509275,9.04668866357599,8.98589266149827
"COL11A1",10.6219325893664,10.7286991242338,10.8636170629966,10.9157210162538,6.99734406070243,6.95386301170721,7.17887018222844,7.01408214093445
"SOX8",8.98548101534112,8.71737115560014,8.9531037625547,8.84241089233946,4.56100912230282,4.07834489166493,4.10747384375739,4.4205835312173
"UNC5B",3.91034622215889,3.32554741439719,4.01793852821058,3.61889726449193,9.2809005381666,9.10237985141109,9.26026014882881,9.20357006072707
"HID1",3.96487537218227,3.254157115402,3.27129638194855,3.79056575883757,7.06146401916569,7.06664706799665,7.35499615993339,7.34408780428635
"SFRP4",4.77670300651174,4.75969935069024,5.23400577470685,5.07278397278237,4.79550564265605,4.91647731202987,4.87357488171589,4.6414908139367
"ADAMTS2",8.54159169670053,8.4854152400796,8.63851066897728,8.54425911576612,9.11443974573563,9.08550661048319,9.27575908660948,9.07510638171029
"CORO1A",2.49766004154682,2.42652173299822,2.54434531613381,2.41215789598185,2.26872646258022,1.07920674645045,2.49921277773395,2.5857958167759
"CCND3",9.8365491000593,9.68770370544687,9.81565027594302,9.78296925057923,7.77404276134595,7.85119337982181,7.73743144913667,7.6860166287844
"VSIR",8.40690257816152,8.37981938916952,8.36814996147401,8.31530876831834,5.28699773016237,5.17333294999343,5.79081281914003,5.20314260557981
"LDB3",3.70533627961374,3.66338105605383,3.63940418609481,3.55420094237121,7.54549288427198,7.54124890977259,7.58878101446417,7.48656553215386
"PKP2",6.24023407873582,6.55435975788704,6.51625752291748,6.69856486330883,6.96195628464634,6.94429235829632,6.78506980535657,6.82435380845713
"SEMA6A",2.80431726397956,3.17799630107146,2.68527019462938,2.8607304803989,5.38047487725762,5.47241962789717,5.50453830183754,5.37201841507099
"STK32B",3.10847282471176,4.00433062565697,3.54682296612662,3.22484669663768,0.216316849894472,0,0.42275702611339,0
